seccion,clave,valor1,valor2,valor3
TOTALES,trazas,6870331,,
ETAPA1_binaria,attack,1891650,,
ETAPA1_binaria,background,4911743,,
ETAPA1_binaria,insufficient_evidence,66938,,
ETAPA1_eval,TP/FP/FN/TN,1817070/74580/16846/4961835,,
ETAPA1_eval,precision_ataque,0.961,recall_ataque,0.991
FAMILIA,familia,predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,5270,99762,5120
FAMILIA,smtp_campaign,923,544,14
FAMILIA,ssh_horizontal_scan,8248,44,0
FAMILIA,tcp_flood,217724,247230,120635
FAMILIA,udp_scan,780761,1001413,774653
FAMILIA,unknown_attack,345065,0,0
FAMILIA,vertical_scan,533659,484923,411041
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,923,544,14
SUBTIPO,anomaly-sshscan,8248,44,0
SUBTIPO,anomaly-udpscan,780761,1001413,774653
SUBTIPO,dos,217724,247230,120635
SUBTIPO,nerisbotnet,5270,99762,5120
SUBTIPO,scan11,527983,102572,102220
SUBTIPO,scan44,5676,382351,5608
