seccion,clave,valor1,valor2,valor3
TOTALES,trazas,6870331,,
ETAPA1_binaria,attack,1954049,,
ETAPA1_binaria,background,4864033,,
ETAPA1_binaria,insufficient_evidence,52249,,
ETAPA1_eval,TP/FP/FN/TN,1816688/137361/17228/4899054,,
ETAPA1_eval,precision_ataque,0.93,recall_ataque,0.991
FAMILIA,familia,predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,16643,99762,4420
FAMILIA,smtp_campaign,1134,544,0
FAMILIA,ssh_horizontal_scan,128,44,0
FAMILIA,tcp_flood,217724,247230,120635
FAMILIA,udp_scan,1067026,1001413,1001219
FAMILIA,unknown_attack,117994,0,0
FAMILIA,vertical_scan,533400,484923,410782
GRANULAR,familia_v4,predichas,,
GRANULAR,coordinated_botnet_high_confidence,5842,,
GRANULAR,coordinated_botnet_low_confidence,10801,,
GRANULAR,smtp_campaign_low_confidence,1134,,
GRANULAR,ssh_horizontal_scan,128,,
GRANULAR,tcp_flood,217724,,
GRANULAR,udp_scan,1067026,,
GRANULAR,unknown_attack,117994,,
GRANULAR,vertical_scan,533400,,
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,1134,544,0
SUBTIPO,anomaly-sshscan,128,44,0
SUBTIPO,anomaly-udpscan,1067026,1001413,1001219
SUBTIPO,dos,217724,247230,120635
SUBTIPO,nerisbotnet,16643,99762,4420
SUBTIPO,scan11,133989,102572,102220
SUBTIPO,scan44,399411,382351,304396
