seccion,clave,valor1,valor2,valor3
TOTALES,trazas,6870331,,
ETAPA1_binaria,attack,1962390,,
ETAPA1_binaria,background,4855692,,
ETAPA1_binaria,insufficient_evidence,52249,,
ETAPA1_eval,TP/FP/FN/TN,1816688/145702/17228/4890713,,
ETAPA1_eval,precision_ataque,0.9258,recall_ataque,0.9906
ETAPA1_eval,f1_ataque,0.9571,,
SSH_PASE3,override/override_fp,8389,8389,
FAMILIA,familia(canonica),predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,16462,99762,4420
FAMILIA,smtp_campaign,1098,544,0
FAMILIA,ssh_horizontal_scan,8397,44,0
FAMILIA,tcp_flood,217724,247230,120635
FAMILIA,udp_scan,1067045,1001413,1001219
FAMILIA,unknown_attack,118264,0,0
FAMILIA,vertical_scan,533400,484923,410782
GRANULAR,familia_v5,predichas,,
GRANULAR,coordinated_botnet_high_confidence,5226,,
GRANULAR,coordinated_botnet_low_confidence,11236,,
GRANULAR,smtp_campaign,1098,,
GRANULAR,ssh_horizontal_scan,8397,,
GRANULAR,tcp_flood,217724,,
GRANULAR,udp_scan,1067045,,
GRANULAR,unknown_attack,118264,,
GRANULAR,vertical_scan,533400,,
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,1098,544,0
SUBTIPO,anomaly-sshscan,8397,44,0
SUBTIPO,anomaly-udpscan,1067045,1001413,1001219
SUBTIPO,dos,217724,247230,120635
SUBTIPO,nerisbotnet,16462,99762,4420
SUBTIPO,scan11,133989,102572,102220
SUBTIPO,scan44,399411,382351,304396
