model,class,precision,recall,f1,support
LogisticRegression,anomaly-udpscan,0.9715,0.9935,0.9824,2778
LogisticRegression,background,0.6972,0.7088,0.703,2778
LogisticRegression,blacklist,0.481,0.0992,0.1645,1401
LogisticRegression,dos,0.989,1.0,0.9945,2778
LogisticRegression,nerisbotnet,0.7735,0.991,0.8689,2778
LogisticRegression,scan11,0.5465,0.9942,0.7053,2778
LogisticRegression,scan44,0.7583,0.1897,0.3035,2778
KNN,anomaly-udpscan,0.9806,1.0,0.9902,2778
KNN,background,0.8249,0.8175,0.8212,2778
KNN,blacklist,0.6495,0.5953,0.6212,1401
KNN,dos,0.9982,1.0,0.9991,2778
KNN,nerisbotnet,0.9771,0.9968,0.9868,2778
KNN,scan11,0.8934,0.9777,0.9337,2778
KNN,scan44,0.9677,0.8837,0.9238,2778
SVM,anomaly-udpscan,0.9799,1.0,0.9898,2778
SVM,background,0.7459,0.7894,0.7671,2778
SVM,blacklist,0.6307,0.2841,0.3917,1401
SVM,dos,0.989,1.0,0.9945,2778
SVM,nerisbotnet,0.8458,0.9896,0.9121,2778
SVM,scan11,0.5472,0.9968,0.7066,2778
SVM,scan44,0.9452,0.1861,0.311,2778
RandomForest,anomaly-udpscan,0.9809,1.0,0.9904,2778
RandomForest,background,0.8866,0.9089,0.8976,2778
RandomForest,blacklist,0.8069,0.7338,0.7686,1401
RandomForest,dos,0.9996,0.9993,0.9995,2778
RandomForest,nerisbotnet,0.9986,0.9986,0.9986,2778
RandomForest,scan11,0.9903,0.9964,0.9934,2778
RandomForest,scan44,0.9946,0.9896,0.9921,2778
MLPClassifier,anomaly-udpscan,0.9802,1.0,0.99,2778
MLPClassifier,background,0.7958,0.874,0.8331,2778
MLPClassifier,blacklist,0.6945,0.5111,0.5888,1401
MLPClassifier,dos,0.9993,1.0,0.9996,2778
MLPClassifier,nerisbotnet,0.9865,0.9978,0.9921,2778
MLPClassifier,scan11,0.7005,0.9338,0.8005,2778
MLPClassifier,scan44,0.8971,0.6026,0.7209,2778
