attack_label,window_type,window_id,file_path,center_row,center_timestamp,rows_total,attack_rows,background_rows,other_labels,status,truncated
dos,rows_2000,1,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_01.csv,31706541,2016-08-01 07:59:44,2001,50,1929,{'blacklist': 22},created,False
dos,rows_2000,2,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_02.csv,32529910,2016-08-01 08:09:52,2001,988,994,{'blacklist': 19},created,False
dos,rows_2000,3,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_03.csv,32627714,2016-08-01 08:10:36,2001,1050,951,{},created,False
dos,rows_2000,4,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_04.csv,32728658,2016-08-01 08:11:20,2001,1016,976,{'blacklist': 9},created,False
dos,rows_2000,5,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_05.csv,32821894,2016-08-01 08:12:04,2001,900,1100,{'blacklist': 1},created,False
dos,rows_2000,6,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_06.csv,33455573,2016-08-01 08:19:53,2001,396,1604,{'blacklist': 1},created,False
dos,rows_2000,7,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_07.csv,33629393,2016-08-01 08:21:43,2001,398,1597,{'blacklist': 6},created,False
dos,rows_2000,8,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_08.csv,33840537,2016-08-01 08:24:03,2001,396,1604,{'blacklist': 1},created,False
dos,rows_2000,9,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_09.csv,34024894,2016-08-01 08:25:53,2001,400,1599,{'blacklist': 2},created,False
dos,rows_2000,10,data\attack_analysis\dos\rows_2000\dos_rows_2000_window_10.csv,34357981,2016-08-01 08:29:44,2001,180,1818,{'blacklist': 3},created,False
dos,time_10s,1,data\attack_analysis\dos\time_10s\dos_time_10s_window_01.csv,31706541,2016-08-01 07:59:44,26170,2032,24086,{'blacklist': 52},created,False
dos,time_10s,2,data\attack_analysis\dos\time_10s\dos_time_10s_window_02.csv,32529910,2016-08-01 08:09:52,43789,17904,25794,{'blacklist': 91},created,False
dos,time_10s,3,data\attack_analysis\dos\time_10s\dos_time_10s_window_03.csv,32627714,2016-08-01 08:10:36,47317,20860,26422,{'blacklist': 35},created,False
dos,time_10s,4,data\attack_analysis\dos\time_10s\dos_time_10s_window_04.csv,32728658,2016-08-01 08:11:20,45512,21026,24425,{'blacklist': 61},created,False
dos,time_10s,5,data\attack_analysis\dos\time_10s\dos_time_10s_window_05.csv,32821894,2016-08-01 08:12:04,46297,20824,25444,{'blacklist': 29},created,False
dos,time_10s,6,data\attack_analysis\dos\time_10s\dos_time_10s_window_06.csv,33455573,2016-08-01 08:19:53,33877,7623,26234,{'blacklist': 20},created,False
dos,time_10s,7,data\attack_analysis\dos\time_10s\dos_time_10s_window_07.csv,33629393,2016-08-01 08:21:43,31955,8316,23599,{'blacklist': 40},created,False
dos,time_10s,8,data\attack_analysis\dos\time_10s\dos_time_10s_window_08.csv,33840537,2016-08-01 08:24:03,36722,8322,28361,{'blacklist': 39},created,False
dos,time_10s,9,data\attack_analysis\dos\time_10s\dos_time_10s_window_09.csv,34024894,2016-08-01 08:25:53,32005,8320,23644,{'blacklist': 41},created,False
dos,time_10s,10,data\attack_analysis\dos\time_10s\dos_time_10s_window_10.csv,34357981,2016-08-01 08:29:44,30428,2162,28232,{'blacklist': 34},created,False
dos,time_60s,1,data\attack_analysis\dos\time_60s\dos_time_60s_window_01.csv,31706541,2016-08-01 07:59:44,100000,4289,95542,{'blacklist': 169},created_truncated,True
dos,time_60s,2,data\attack_analysis\dos\time_60s\dos_time_60s_window_02.csv,32653185,2016-08-01 08:10:47,100000,44761,55085,{'blacklist': 154},created_truncated,True
dos,time_60s,3,data\attack_analysis\dos\time_60s\dos_time_60s_window_03.csv,32870117,2016-08-01 08:12:26,100000,46267,53660,{'blacklist': 73},created_truncated,True
dos,time_60s,4,data\attack_analysis\dos\time_60s\dos_time_60s_window_04.csv,33795026,2016-08-01 08:23:36,100000,16103,83683,{'blacklist': 214},created_truncated,True
dos,time_60s,5,data\attack_analysis\dos\time_60s\dos_time_60s_window_05.csv,34357981,2016-08-01 08:29:44,100000,12066,87802,{'blacklist': 132},created_truncated,True
anomaly-udpscan,rows_2000,1,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_01.csv,15912309,2016-08-01 04:10:22,2001,1001,997,{'blacklist': 3},created,False
anomaly-udpscan,rows_2000,2,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_02.csv,16027617,2016-08-01 04:10:27,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,3,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_03.csv,16158363,2016-08-01 04:10:48,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,4,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_04.csv,16298494,2016-08-01 04:11:18,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,5,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_05.csv,16501264,2016-08-01 04:12:50,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,6,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_06.csv,16616419,2016-08-01 04:12:55,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,7,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_07.csv,16801562,2016-08-01 04:14:04,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,8,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_08.csv,16916248,2016-08-01 04:14:08,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,9,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_09.csv,17652515,2016-08-01 04:24:10,2001,2001,0,{},created,False
anomaly-udpscan,rows_2000,10,data\attack_analysis\anomaly-udpscan\rows_2000\anomaly-udpscan_rows_2000_window_10.csv,86613835,2016-08-01 17:23:36,2001,60,1939,{'blacklist': 2},created,False
anomaly-udpscan,time_10s,1,data\attack_analysis\anomaly-udpscan\time_10s\anomaly-udpscan_time_10s_window_01.csv,15912309,2016-08-01 04:10:22,100000,85024,14909,{'blacklist': 67},created_truncated,True
anomaly-udpscan,time_10s,2,data\attack_analysis\anomaly-udpscan\time_10s\anomaly-udpscan_time_10s_window_02.csv,16027617,2016-08-01 04:10:27,100000,90129,9808,{'blacklist': 63},created_truncated,True
