seccion,clave,valor1,valor2,valor3
TOTALES,trazas,400000,,
ETAPA1_binaria,attack,4871,,
ETAPA1_binaria,background,392960,,
ETAPA1_binaria,insufficient_evidence,2169,,
ETAPA1_eval,TP/FP/FN/TN,0/4871/29438/365691,,
ETAPA1_eval,precision_ataque,0.0,recall_ataque,0.0
FAMILIA,familia,predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,4,0,0
FAMILIA,smtp_campaign,99,140,0
FAMILIA,ssh_horizontal_scan,19,29298,0
FAMILIA,tcp_flood,897,0,0
FAMILIA,udp_scan,1776,0,0
FAMILIA,unknown_attack,1756,0,0
FAMILIA,vertical_scan,320,0,0
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,99,140,0
SUBTIPO,anomaly-sshscan,19,29298,0
SUBTIPO,anomaly-udpscan,1776,0,0
SUBTIPO,dos,897,0,0
SUBTIPO,nerisbotnet,4,0,0
SUBTIPO,scan11,247,0,0
SUBTIPO,scan44,73,0,0
