seccion,clave,valor1,valor2,valor3
TOTALES,trazas,768000,,
ETAPA1_binaria,attack,114322,,
ETAPA1_binaria,background,647466,,
ETAPA1_binaria,insufficient_evidence,6212,,
ETAPA1_eval,TP/FP/FN/TN,99720/14602/33743/619935,,
ETAPA1_eval,precision_ataque,0.872,recall_ataque,0.747
FAMILIA,familia,predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,165,255,0
FAMILIA,smtp_campaign,112,33155,0
FAMILIA,ssh_horizontal_scan,6300,5,0
FAMILIA,tcp_flood,26599,26218,12823
FAMILIA,udp_scan,2805,0,0
FAMILIA,unknown_attack,2193,0,0
FAMILIA,vertical_scan,76148,73830,62961
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,112,33155,0
SUBTIPO,anomaly-sshscan,6300,5,0
SUBTIPO,anomaly-udpscan,2805,0,0
SUBTIPO,dos,26599,26218,12823
SUBTIPO,nerisbotnet,165,255,0
SUBTIPO,scan11,51365,22187,22060
SUBTIPO,scan44,24783,51643,24632
