seccion,clave,v1,v2,v3
TOTALES,trazas,400000,,
BINARIO,TP/FP/FN/TN,26580/4871/2858/365691,,
BINARIO,precision/recall/F1,0.8451,0.9029,0.873
SSHSCAN,precision/recall/F1,0.9993,0.9072,0.951
SSHSCAN,pred/correct/orig,26599,26580,29298
SPAM,precision/recall/F1,0.0,0.0,0.0
SPAM,pred/correct/orig,0,0,140
SENSIBILIDAD_FANOUT,min_dsts/n_srcs/flujos,,,
SENSIBILIDAD_FANOUT,min_dsts=20,3,26716,
SENSIBILIDAD_FANOUT,min_dsts=50,1,26580,
SENSIBILIDAD_FANOUT,min_dsts=100,1,26580,
PERSISTENCIA_VENTANA,min/n_srcs/flujos (gate persistencia),,,
PERSISTENCIA_VENTANA,5min,1,26580,
PERSISTENCIA_VENTANA,15min,0,0,
PERSISTENCIA_VENTANA,30min,0,0,
PERSISTENCIA_VENTANA,60min,0,0,
