seccion,clave,valor1,valor2,valor3
TOTALES,trazas,400000,,
ETAPA1_binaria,attack,31451,,
ETAPA1_binaria,background,366380,,
ETAPA1_binaria,insufficient_evidence,2169,,
ETAPA1_eval,TP/FP/FN/TN,26580/4871/2858/365691,,
ETAPA1_eval,precision_ataque,0.8451,recall_ataque,0.9029
ETAPA1_eval,f1_ataque,0.873,,
SSH_PASE3,override/override_fp,26580,0,
FAMILIA,familia(canonica),predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,4,0,0
FAMILIA,smtp_campaign,99,140,0
FAMILIA,ssh_horizontal_scan,26599,29298,26580
FAMILIA,tcp_flood,897,0,0
FAMILIA,udp_scan,1776,0,0
FAMILIA,unknown_attack,1756,0,0
FAMILIA,vertical_scan,320,0,0
GRANULAR,familia_v5,predichas,,
GRANULAR,coordinated_botnet_high_confidence,4,,
GRANULAR,smtp_campaign,99,,
GRANULAR,ssh_horizontal_scan,26599,,
GRANULAR,tcp_flood,897,,
GRANULAR,udp_scan,1776,,
GRANULAR,unknown_attack,1756,,
GRANULAR,vertical_scan,320,,
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,99,140,0
SUBTIPO,anomaly-sshscan,26599,29298,26580
SUBTIPO,anomaly-udpscan,1776,0,0
SUBTIPO,dos,897,0,0
SUBTIPO,nerisbotnet,4,0,0
SUBTIPO,scan11,247,0,0
SUBTIPO,scan44,73,0,0
