seccion,clave,valor1,valor2,valor3
TOTALES,trazas,768000,,
ETAPA1_binaria,attack,114429,,
ETAPA1_binaria,background,647359,,
ETAPA1_binaria,insufficient_evidence,6212,,
ETAPA1_eval,TP/FP/FN/TN,99720/14709/33743/619828,,
ETAPA1_eval,precision_ataque,0.8715,recall_ataque,0.7472
ETAPA1_eval,f1_ataque,0.8046,,
SSH_PASE3,override/override_fp,6401,6401,
FAMILIA,familia(canonica),predichas,etiq_original,aciertos
FAMILIA,coordinated_botnet,165,255,0
FAMILIA,smtp_campaign,112,33155,0
FAMILIA,ssh_horizontal_scan,6407,5,0
FAMILIA,tcp_flood,26599,26218,12823
FAMILIA,udp_scan,2805,0,0
FAMILIA,unknown_attack,2193,0,0
FAMILIA,vertical_scan,76148,73830,62961
GRANULAR,familia_v5,predichas,,
GRANULAR,coordinated_botnet_high_confidence,165,,
GRANULAR,smtp_campaign,112,,
GRANULAR,ssh_horizontal_scan,6407,,
GRANULAR,tcp_flood,26599,,
GRANULAR,udp_scan,2805,,
GRANULAR,unknown_attack,2193,,
GRANULAR,vertical_scan,76148,,
SUBTIPO,subtipo,predichos,etiq_original,aciertos
SUBTIPO,anomaly-spam,112,33155,0
SUBTIPO,anomaly-sshscan,6407,5,0
SUBTIPO,anomaly-udpscan,2805,0,0
SUBTIPO,dos,26599,26218,12823
SUBTIPO,nerisbotnet,165,255,0
SUBTIPO,scan11,51365,22187,22060
SUBTIPO,scan44,24783,51643,24632
